aba	a . b a
tlhanolele	t͡lʰ a . n ʊ . l ɪ . l ɪ
tlhanolola	t͡lʰ a . n ʊ . l ʊ . l a
tlhanolole	t͡lʰ a . n ʊ . l ʊ . l ɪ
tlhano	t͡lʰ a . n ʊ
tlhantlhetse	t͡lʰ a . n . t͡lʰ ɪ . t͡sʼ ɪ
tlhanyaolola	t͡lʰ a . ɲ a . ʊ . l ʊ . l a
tlhanyaolotsweng	t͡lʰ a . ɲ a . ʊ . l ʊ . t͡sʼ w ɪ . ŋ
tlhaolang	t͡lʰ a . ʊ . l a . ŋ
tlhaola	t͡lʰ a . ʊ . l a
tlhaolegang	t͡lʰ a . ʊ . l ɪ . x a . ŋ
tlhaolegela	t͡lʰ a . ʊ . l ɪ . x ɪ . l a
tlhaolegileng	t͡lʰ a . ʊ . l ɪ . x i . l ɪ . ŋ
tlhaolegile	t͡lʰ a . ʊ . l ɪ . x i . l ɪ
tlhaoleleng	t͡lʰ a . ʊ . l ɪ . l ɪ . ŋ
tlhaolele	t͡lʰ a . ʊ . l ɪ . l ɪ
tlhaoleng	t͡lʰ a . ʊ . l ɪ . ŋ
tlhaole	t͡lʰ a . ʊ . l ɪ
tlhaoletsweng	t͡lʰ a . ʊ . l ɪ . t͡sʼ w ɪ . ŋ
tlhaoletswe	t͡lʰ a . ʊ . l ɪ . t͡sʼ w ɪ
tlhaologile	t͡lʰ a . ʊ . l ʊ . x i . l ɪ
tlhaolo	t͡lʰ a . ʊ . l ʊ
tlhaolwa	t͡lʰ a . ʊ . l w a
tlhaolwe	t͡lʰ a . ʊ . l w ɪ
tlhaotsweng	t͡lʰ a . ʊ . t͡sʼ w ɪ . ŋ
tlhaotswe	t͡lʰ a . ʊ . t͡sʼ w ɪ
tlhapaditse	t͡lʰ a . pʼ a . d i . t͡sʼ ɪ
tlhapang	t͡lʰ a . pʼ a . ŋ
tlhapa	t͡lʰ a . pʼ a
tlhapatsa	t͡lʰ a . pʼ a . t͡sʼ a
tlhapela	t͡lʰ a . pʼ ɪ . l a
tlhape	t͡lʰ a . pʼ ɪ
tlhapetswe	t͡lʰ a . pʼ ɪ . t͡sʼ w ɪ
tlhapileng	t͡lʰ a . pʼ i . l ɪ . ŋ
tlhapile	t͡lʰ a . pʼ i . l ɪ
tlhaping	t͡lʰ a . pʼ i . ŋ
tlhapisa	t͡lʰ a . pʼ i . s a
tlhapi	t͡lʰ a . pʼ i
tlhaposo	t͡lʰ a . pʼ ʊ . s ʊ
tlhapotse	t͡lʰ a . pʼ ʊ . t͡sʼ ɪ
tlhaselang	t͡lʰ a . s ɪ . l a . ŋ
tlhasela	t͡lʰ a . s ɪ . l a
tlhaselegang	t͡lʰ a . s ɪ . l ɪ . x a . ŋ
tlhaselega	t͡lʰ a . s ɪ . l ɪ . x a
tlhaselegileng	t͡lʰ a . s ɪ . l ɪ . x i . l ɪ . ŋ
tlhaselego	t͡lʰ a . s ɪ . l ɪ . x ʊ
tlhasele	t͡lʰ a . s ɪ . l ɪ
tlhaselo	t͡lʰ a . s ɪ . l ʊ
tlhaselwang	t͡lʰ a . s ɪ . l w a . ŋ
tlhaselwa	t͡lʰ a . s ɪ . l w a
tlhaselwe	t͡lʰ a . s ɪ . l w ɪ
tlhasenyana	t͡lʰ a . s ɪ . ɲ a . n a
tlhase	t͡lʰ a . s ɪ
tlhasetse	t͡lʰ a . s ɪ . t͡sʼ ɪ
tlhasetswe	t͡lʰ a . s ɪ . t͡sʼ w ɪ
tlhatlagana	t͡lʰ a . t͡lʼ a . x a . n a
tlha	t͡lʰ a
tlhatlhabo	t͡lʰ a . t͡lʰ a . b ʊ
tlhatlhamang	t͡lʰ a . t͡lʰ a . m a . ŋ
tlhatlhamanong	t͡lʰ a . t͡lʰ a . m a . n ʊ . ŋ
tlhatlhamano	t͡lʰ a . t͡lʰ a . m a . n ʊ
tlhatlhama	t͡lʰ a . t͡lʰ a . m a
tlhatlhamologa	t͡lʰ a . t͡lʰ a . m ʊ . l ʊ . x a
tlhatlhamolola	t͡lʰ a . t͡lʰ a . m ʊ . l ʊ . l a
tlhatlhamololwa	t͡lʰ a . t͡lʰ a . m ʊ . l ʊ . l w a
tlhatlhamololwe	t͡lʰ a . t͡lʰ a . m ʊ . l ʊ . l w ɪ
tlhatlhamolotse	t͡lʰ a . t͡lʰ a . m ʊ . l ʊ . t͡sʼ ɪ
tlhatlhamolotswe	t͡lʰ a . t͡lʰ a . m ʊ . l ʊ . t͡sʼ w ɪ
tlhatlhangwa	t͡lʰ a . t͡lʰ a . ŋ w a
tlhatlhela	t͡lʰ a . t͡lʰ ɪ . l a
tlhatlhelela	t͡lʰ a . t͡lʰ ɪ . l ɪ . l a
tlhatlhelo	t͡lʰ a . t͡lʰ ɪ . l ʊ
tlhatlhelwa	t͡lʰ a . t͡lʰ ɪ . l w a
tlhatlhelwe	t͡lʰ a . t͡lʰ ɪ . l w ɪ
tlhatlhetsweng	t͡lʰ a . t͡lʰ ɪ . t͡sʼ w ɪ . ŋ
tlhatlhetswe	t͡lʰ a . t͡lʰ ɪ . t͡sʼ w ɪ
tlhatlhobang	t͡lʰ a . t͡lʰ ʊ . b a . ŋ
tlhatlhoba	t͡lʰ a . t͡lʰ ʊ . b a
tlhatlhobela	t͡lʰ a . t͡lʰ ʊ . b ɪ . l a
tlhatlhobelwang	t͡lʰ a . t͡lʰ ʊ . b ɪ . l w a . ŋ
tlhatlhobelwa	t͡lʰ a . t͡lʰ ʊ . b ɪ . l w a
tlhatlhobeng	t͡lʰ a . t͡lʰ ʊ . b ɪ . ŋ
tlhatlhobe	t͡lʰ a . t͡lʰ ʊ . b ɪ
tlhatlhobetswe	t͡lʰ a . t͡lʰ ʊ . b ɪ . t͡sʼ w ɪ
tlhatlhobileng	t͡lʰ a . t͡lʰ ʊ . b i . l ɪ . ŋ
tlhatlhobile	t͡lʰ a . t͡lʰ ʊ . b i . l ɪ
tlhatlhobilweng	t͡lʰ a . t͡lʰ ʊ . b i . l w ɪ . ŋ
tlhatlhobilwe	t͡lʰ a . t͡lʰ ʊ . b i . l w ɪ
tlhatlhobiwang	t͡lʰ a . t͡lʰ ʊ . b i . w a . ŋ
tlhatlhobiwa	t͡lʰ a . t͡lʰ ʊ . b i . w a
tlhatlhobiwe	t͡lʰ a . t͡lʰ ʊ . b i . w ɪ
tlhatlhobong	t͡lʰ a . t͡lʰ ʊ . b ʊ . ŋ
tlhatlhobophitlhelelo	t͡lʰ a . t͡lʰ ʊ . b ʊ . pʰ i . t͡lʰ ɪ . l ɪ . l ʊ
tlhatlhobo	t͡lʰ a . t͡lʰ ʊ . b ʊ
tlhatlhobotsweledi	t͡lʰ a . t͡lʰ ʊ . b ʊ . t͡sʼ w ɪ . l ɪ . d i
tlhatlhoga	t͡lʰ a . t͡lʰ ʊ . x a
tlhatlhogela	t͡lʰ a . t͡lʰ ʊ . x ɪ . l a
tlhatlhogetse	t͡lʰ a . t͡lʰ ʊ . x ɪ . t͡sʼ ɪ
tlhatlhogile	t͡lʰ a . t͡lʰ ʊ . x i . l ɪ
tlhatlhojwa	t͡lʰ a . t͡lʰ ʊ . d͡ʒ w a
tlhatlhololo	t͡lʰ a . t͡lʰ ʊ . l ʊ . l ʊ
tlhatlhosa	t͡lʰ a . t͡lʰ ʊ . s a
tlhatlhoso	t͡lʰ a . t͡lʰ ʊ . s ʊ
tlhatlhoswa	t͡lʰ a . t͡lʰ ʊ . s w a
tlhatlogang	t͡lʰ a . t͡lʼ ʊ . x a . ŋ
tlhatloga	t͡lʰ a . t͡lʼ ʊ . x a
tlhatlogela	t͡lʰ a . t͡lʼ ʊ . x ɪ . l a
tlhatlogile	t͡lʰ a . t͡lʼ ʊ . x i . l ɪ
tlhatlogong	t͡lʰ a . t͡lʼ ʊ . x ʊ . ŋ
tlhatlogo	t͡lʰ a . t͡lʼ ʊ . x ʊ
tlhatlosa	t͡lʰ a . t͡lʼ ʊ . s a
tlhatlositsweng	t͡lʰ a . t͡lʼ ʊ . s i . t͡sʼ w ɪ . ŋ
tlhatlosiwa	t͡lʰ a . t͡lʼ ʊ . s i . w a
tlhatloso	t͡lʰ a . t͡lʼ ʊ . s ʊ
tlhatso	t͡lʰ a . t͡sʼ ʊ
tlhatswadiatla	t͡lʰ a . t͡sʼ w a . d i . a . t͡lʼ a
tlhatswa	t͡lʰ a . t͡sʼ w a
tlhatswe	t͡lʰ a . t͡sʼ w ɪ
tlhatswetsa	t͡lʰ a . t͡sʼ w ɪ . t͡sʼ a
tlhatswiwa	t͡lʰ a . t͡sʼ w i . w a
tlhatsw	t͡lʰ a t͡sʼ w
tlhelela	t͡lʰ ɪ . l ɪ . l a
tlhelelegang	t͡lʰ ɪ . l ɪ . l ɪ . x a . ŋ
tlhelelwe	t͡lʰ ɪ . l ɪ . l w ɪ
tlheletsano	t͡lʰ ɪ . l ɪ . t͡sʼ a . n ʊ
tlheletse	t͡lʰ ɪ . l ɪ . t͡sʼ ɪ
tlheletswe	t͡lʰ ɪ . l ɪ . t͡sʼ w ɪ
tlhelwa	t͡lʰ ɪ . l w a
tlheng	t͡lʰ ɪ . ŋ
tlhe	t͡lʰ ɪ
tlhoafalela	t͡lʰ ʊ . a . f a . l ɪ . l a
tlhoafaletse	t͡lʰ ʊ . a . f a . l ɪ . t͡sʼ ɪ
tlhoafalo	t͡lʰ ʊ . a . f a . l ʊ
tlhoafetseng	t͡lʰ ʊ . a . f ɪ . t͡sʼ ɪ . ŋ
tlhoafetse	t͡lʰ ʊ . a . f ɪ . t͡sʼ ɪ
tlhoa	t͡lʰ ʊ . a
tlhobaboroko	t͡lʰ ʊ . b a . b ʊ . r ʊ . kʼ ʊ
tlhobaelang	t͡lʰ ʊ . b a . ɪ . l a . ŋ
tlhobaela	t͡lʰ ʊ . b a . ɪ . l a
tlhobaelo	t͡lʰ ʊ . b a . ɪ . l ʊ
tlhobaetsang	t͡lʰ ʊ . b a . ɪ . t͡sʼ a . ŋ
tlhobaetsa	t͡lʰ ʊ . b a . ɪ . t͡sʼ a
tlhoba	t͡lʰ ʊ . b a
tlhoboganeng	t͡lʰ ʊ . b ʊ . x a . n ɪ . ŋ
tlhoboga	t͡lʰ ʊ . b ʊ . x a
tlhobogela	t͡lʰ ʊ . b ʊ . x ɪ . l a
tlhoboge	t͡lʰ ʊ . b ʊ . x ɪ
tlhobogile	t͡lʰ ʊ . b ʊ . x i . l ɪ
tlhobogilwe	t͡lʰ ʊ . b ʊ . x i . l w ɪ
tlhobolo	t͡lʰ ʊ . b ʊ . l ʊ
tlhodia	t͡lʰ ʊ . d i . a
tlhodileng	t͡lʰ ʊ . d i . l ɪ . ŋ
tlhodile	t͡lʰ ʊ . d i . l ɪ
tlhodilweng	t͡lʰ ʊ . d i . l w ɪ . ŋ
tlhodilwe	t͡lʰ ʊ . d i . l w ɪ
tlhodiwang	t͡lʰ ʊ . d i . w a . ŋ
tlhoeng	t͡lʰ ʊ . ɪ . ŋ
tlhofi	t͡lʰ ʊ . f i
tlhofofaletsa	t͡lʰ ʊ . f ʊ . f a . l ɪ . t͡sʼ a
tlhofofatsa	t͡lʰ ʊ . f ʊ . f a . t͡sʼ a
tlhofofatseng	t͡lʰ ʊ . f ʊ . f a . t͡sʼ ɪ . ŋ
tlhogang	t͡lʰ ʊ . x a . ŋ
tlhoga	t͡lʰ ʊ . x a
tlhogela	t͡lʰ ʊ . x ɪ . l a
tlhogileng	t͡lʰ ʊ . x i . l ɪ . ŋ
tlhogile	t͡lʰ ʊ . x i . l ɪ
tlhogisetsa	t͡lʰ ʊ . x i . s ɪ . t͡sʼ a
tlhogokgolo	t͡lʰ ʊ . x ʊ . k͡x ʊ . l ʊ
tlhogokwalo	t͡lʰ ʊ . x ʊ . kʼ w a . l ʊ
tlhogong	t͡lʰ ʊ . x ʊ . ŋ
tlhogonolo	t͡lʰ ʊ . x ʊ . n ʊ . l ʊ
tlhogo	t͡lʰ ʊ . x ʊ
tlhoileng	t͡lʰ ʊ . i . l ɪ . ŋ
tlhoile	t͡lʰ ʊ . i . l ɪ
tlhokafalang	t͡lʰ ʊ . kʼ a . f a . l a . ŋ
tlhokafala	t͡lʰ ʊ . kʼ a . f a . l a
tlhokafaleng	t͡lʰ ʊ . kʼ a . f a . l ɪ . ŋ
tlhokafale	t͡lʰ ʊ . kʼ a . f a . l ɪ
tlhokafaletseng	t͡lʰ ʊ . kʼ a . f a . l ɪ . t͡sʼ ɪ . ŋ
tlhokafaletse	t͡lʰ ʊ . kʼ a . f a . l ɪ . t͡sʼ ɪ
tlhokafaletswe	t͡lʰ ʊ . kʼ a . f a . l ɪ . t͡sʼ w ɪ
tlhokafalo	t͡lʰ ʊ . kʼ a . f a . l ʊ
tlhokafetseng	t͡lʰ ʊ . kʼ a . f ɪ . t͡sʼ ɪ . ŋ
tlhokafetse	t͡lʰ ʊ . kʼ a . f ɪ . t͡sʼ ɪ
tlhokagalang	t͡lʰ ʊ . kʼ a . x a . l a . ŋ
tlhokagala	t͡lʰ ʊ . kʼ a . x a . l a
tlhokagaleng	t͡lʰ ʊ . kʼ a . x a . l ɪ . ŋ
tlhokagale	t͡lʰ ʊ . kʼ a . x a . l ɪ
tlhokaina	t͡lʰ ʊ . kʼ a . i . n a
tlhokang	t͡lʰ ʊ . kʼ a . ŋ
tlhokatekano	t͡lʰ ʊ . kʼ a . tʼ ɪ . kʼ a . n ʊ
tlhoka	t͡lʰ ʊ . kʼ a
tlhokegang	t͡lʰ ʊ . kʼ ɪ . x a . ŋ
tlhokega	t͡lʰ ʊ . kʼ ɪ . x a
tlhokegeng	t͡lʰ ʊ . kʼ ɪ . x ɪ . ŋ
tlhokege	t͡lʰ ʊ . kʼ ɪ . x ɪ
tlhokegong	t͡lʰ ʊ . kʼ ɪ . x ʊ . ŋ
tlhokego	t͡lʰ ʊ . kʼ ɪ . x ʊ
tlhokelang	t͡lʰ ʊ . kʼ ɪ . l a . ŋ
tlhokela	t͡lʰ ʊ . kʼ ɪ . l a
tlhokelwang	t͡lʰ ʊ . kʼ ɪ . l w a . ŋ
tlhokelwa	t͡lʰ ʊ . kʼ ɪ . l w a
tlhokeng	t͡lʰ ʊ . kʼ ɪ . ŋ
tlhoke	t͡lʰ ʊ . kʼ ɪ
tlhokileng	t͡lʰ ʊ . kʼ i . l ɪ . ŋ
tlhokile	t͡lʰ ʊ . kʼ i . l ɪ
tlhokisang	t͡lʰ ʊ . kʼ i . s a . ŋ
tlhokisa	t͡lʰ ʊ . kʼ i . s a
tlhokisitsweng	t͡lʰ ʊ . kʼ i . s i . t͡sʼ w ɪ . ŋ
tlhokiwang	t͡lʰ ʊ . kʼ i . w a . ŋ
tlhokiwa	t͡lʰ ʊ . kʼ i . w a
tlhokofala	t͡lʰ ʊ . kʼ ʊ . f a . l a
tlhokofalela	t͡lʰ ʊ . kʼ ʊ . f a . l ɪ . l a
tlhokofetseng	t͡lʰ ʊ . kʼ ʊ . f ɪ . t͡sʼ ɪ . ŋ
tlhokomedisa	t͡lʰ ʊ . kʼ ʊ . m ɪ . d i . s a
tlhokomediso	t͡lʰ ʊ . kʼ ʊ . m ɪ . d i . s ʊ
tlhokomelana	t͡lʰ ʊ . kʼ ʊ . m ɪ . l a . n a
tlhokomelang	t͡lʰ ʊ . kʼ ʊ . m ɪ . l a . ŋ
tlhokomelano	t͡lʰ ʊ . kʼ ʊ . m ɪ . l a . n ʊ
tlhokomela	t͡lʰ ʊ . kʼ ʊ . m ɪ . l a
tlhokomelela	t͡lʰ ʊ . kʼ ʊ . m ɪ . l ɪ . l a
tlhokomeleng	t͡lʰ ʊ . kʼ ʊ . m ɪ . l ɪ . ŋ
tlhokomelesegileng	t͡lʰ ʊ . kʼ ʊ . m ɪ . l ɪ . s ɪ . x i . l ɪ . ŋ
tlhokomele	t͡lʰ ʊ . kʼ ʊ . m ɪ . l ɪ
tlhokomelong	t͡lʰ ʊ . kʼ ʊ . m ɪ . l ʊ . ŋ
tlhokomelo	t͡lʰ ʊ . kʼ ʊ . m ɪ . l ʊ
tlhokomelwang	t͡lʰ ʊ . kʼ ʊ . m ɪ . l w a . ŋ
tlhokomelwa	t͡lʰ ʊ . kʼ ʊ . m ɪ . l w a
tlhokomelwe	t͡lʰ ʊ . kʼ ʊ . m ɪ . l w ɪ
tlhokometseng	t͡lʰ ʊ . kʼ ʊ . m ɪ . t͡sʼ ɪ . ŋ
tlhokometse	t͡lʰ ʊ . kʼ ʊ . m ɪ . t͡sʼ ɪ
tlhokometsweng	t͡lʰ ʊ . kʼ ʊ . m ɪ . t͡sʼ w ɪ . ŋ
tlhokometswe	t͡lʰ ʊ . kʼ ʊ . m ɪ . t͡sʼ w ɪ
tlhokomologa	t͡lʰ ʊ . kʼ ʊ . m ʊ . l ʊ . x a
tlhokomologe	t͡lʰ ʊ . kʼ ʊ . m ʊ . l ʊ . x ɪ
tlhokomologile	t͡lʰ ʊ . kʼ ʊ . m ʊ . l ʊ . x i . l ɪ
tlhokomologo	t͡lʰ ʊ . kʼ ʊ . m ʊ . l ʊ . x ʊ
tlhoko	t͡lʰ ʊ . kʼ ʊ
tlhokwang	t͡lʰ ʊ . kʼ w a . ŋ
tlhokwa	t͡lʰ ʊ . kʼ w a
tlholana	t͡lʰ ʊ . l a . n a
tlholang	t͡lʰ ʊ . l a . ŋ
tlhola	t͡lʰ ʊ . l a
tlholefatsodijo	t͡lʰ ʊ . l ɪ . f a . t͡sʼ ʊ . d i . d͡ʒ ʊ
tlholegang	t͡lʰ ʊ . l ɪ . x a . ŋ
tlholega	t͡lʰ ʊ . l ɪ . x a
tlholegileng	t͡lʰ ʊ . l ɪ . x i . l ɪ . ŋ
tlholegile	t͡lʰ ʊ . l ɪ . x i . l ɪ
tlholegong	t͡lʰ ʊ . l ɪ . x ʊ . ŋ
tlholego	t͡lʰ ʊ . l ɪ . x ʊ
tlholela	t͡lʰ ʊ . l ɪ . l a
tlholelela	t͡lʰ ʊ . l ɪ . l ɪ . l a
tlholeng	t͡lʰ ʊ . l ɪ . ŋ
tlhole	t͡lʰ ʊ . l ɪ
tlholetseng	t͡lʰ ʊ . l ɪ . t͡sʼ ɪ . ŋ
tlhologelelo	t͡lʰ ʊ . l ʊ . x ɪ . l ɪ . l ʊ
tlhololo	t͡lʰ ʊ . l ʊ . l ʊ
tlholwang	t͡lʰ ʊ . l w a . ŋ
tlholwa	t͡lʰ ʊ . l w a
tlholwe	t͡lʰ ʊ . l w ɪ
tlhomagana	t͡lʰ ʊ . m a . x a . n a
tlhomaganeng	t͡lʰ ʊ . m a . x a . n ɪ . ŋ
tlhomagane	t͡lʰ ʊ . m a . x a . n ɪ
tlhomaganya	t͡lʰ ʊ . m a . x a . ɲ a
tlhomaganyo	t͡lʰ ʊ . m a . x a . ɲ ʊ
tlhomamang	t͡lʰ ʊ . m a . m a . ŋ
tlhomama	t͡lʰ ʊ . m a . m a
tlhomameng	t͡lʰ ʊ . m a . m ɪ . ŋ
tlhomame	t͡lʰ ʊ . m a . m ɪ
tlhomamisang	t͡lʰ ʊ . m a . m i . s a . ŋ
tlhomamisa	t͡lʰ ʊ . m a . m i . s a
tlhomamiseditsweng	t͡lʰ ʊ . m a . m i . s ɪ . d i . t͡sʼ w ɪ . ŋ
tlhomamisegeng	t͡lʰ ʊ . m a . m i . s ɪ . x ɪ . ŋ
tlhomamiseng	t͡lʰ ʊ . m a . m i . s ɪ . ŋ
tlhomamise	t͡lʰ ʊ . m a . m i . s ɪ
tlhomamisetsa	t͡lʰ ʊ . m a . m i . s ɪ . t͡sʼ a
tlhomamisistweng	t͡lʰ ʊ . m a . m i . s i . s tʼ w ɪ . ŋ
tlhomamisitseng	t͡lʰ ʊ . m a . m i . s i . t͡sʼ ɪ . ŋ
tlhomamisitse	t͡lʰ ʊ . m a . m i . s i . t͡sʼ ɪ
tlhomamisitsweng	t͡lʰ ʊ . m a . m i . s i . t͡sʼ w ɪ . ŋ
tlhomamisitswe	t͡lʰ ʊ . m a . m i . s i . t͡sʼ w ɪ
tlhomamisiwang	t͡lʰ ʊ . m a . m i . s i . w a . ŋ
tlhomamisiwa	t͡lʰ ʊ . m a . m i . s i . w a
tlhomamisiwe	t͡lʰ ʊ . m a . m i . s i . w ɪ
tlhomamisong	t͡lʰ ʊ . m a . m i . s ʊ . ŋ
tlhomamiso	t͡lʰ ʊ . m a . m i . s ʊ
tlhomamo	t͡lʰ ʊ . m a . m ʊ
tlhomang	t͡lʰ ʊ . m a . ŋ
tlhoma	t͡lʰ ʊ . m a
tlhomela	t͡lʰ ʊ . m ɪ . l a
tlhomelong	t͡lʰ ʊ . m ɪ . l ʊ . ŋ
tlhomelo	t͡lʰ ʊ . m ɪ . l ʊ
tlhomelwa	t͡lʰ ʊ . m ɪ . l w a
tlhomeng	t͡lʰ ʊ . m ɪ . ŋ
tlhome	t͡lʰ ʊ . m ɪ
tlhometseng	t͡lʰ ʊ . m ɪ . t͡sʼ ɪ . ŋ
tlhometse	t͡lʰ ʊ . m ɪ . t͡sʼ ɪ
tlhometsweng	t͡lʰ ʊ . m ɪ . t͡sʼ w ɪ . ŋ
tlhometswe	t͡lʰ ʊ . m ɪ . t͡sʼ w ɪ
tlhomileng	t͡lʰ ʊ . m i . l ɪ . ŋ
tlhomile	t͡lʰ ʊ . m i . l ɪ
tlhomilweng	t͡lʰ ʊ . m i . l w ɪ . ŋ
tlhomilwe	t͡lʰ ʊ . m i . l w ɪ
tlhomiwang	t͡lʰ ʊ . m i . w a . ŋ
tlhomiwa	t͡lʰ ʊ . m i . w a
tlhomiwe	t͡lʰ ʊ . m i . w ɪ
tlhomogelang	t͡lʰ ʊ . m ʊ . x ɪ . l a . ŋ
tlhomogele	t͡lʰ ʊ . m ʊ . x ɪ . l ɪ
tlhomogi	t͡lʰ ʊ . m ʊ . x i
tlhomola	t͡lʰ ʊ . m ʊ . l a
tlhomologileng	t͡lʰ ʊ . m ʊ . l ʊ . x i . l ɪ . ŋ
tlhomololwe	t͡lʰ ʊ . m ʊ . l ʊ . l w ɪ
tlhomong	t͡lʰ ʊ . m ʊ . ŋ
tlhomosemmuso	t͡lʰ ʊ . m ʊ . s ɪ . m . m u . s ʊ
tlhomo	t͡lʰ ʊ . m ʊ
tlhompho	t͡lʰ ʊ . m . pʰ ʊ
tlhonama	t͡lʰ ʊ . n a . m a
tlhoname	t͡lʰ ʊ . n a . m ɪ
tlhongwa	t͡lʰ ʊ . ŋ w a
tlhongwe	t͡lʰ ʊ . ŋ w ɪ
tlhontse	t͡lʰ ʊ . n . t͡sʼ ɪ
tlhopa	t͡lʰ ʊ . pʼ a
tlhophang	t͡lʰ ʊ . pʰ a . ŋ
tlhopha	t͡lʰ ʊ . pʰ a
tlhophelwa	t͡lʰ ʊ . pʰ ɪ . l w a
tlhopheng	t͡lʰ ʊ . pʰ ɪ . ŋ
tlhophe	t͡lʰ ʊ . pʰ ɪ
tlhophetsweng	t͡lʰ ʊ . pʰ ɪ . t͡sʼ w ɪ . ŋ
tlhophileng	t͡lʰ ʊ . pʰ i . l ɪ . ŋ
tlhophile	t͡lʰ ʊ . pʰ i . l ɪ
tlhophilweng	t͡lʰ ʊ . pʰ i . l w ɪ . ŋ
tlhophilwe	t͡lʰ ʊ . pʰ i . l w ɪ
tlhophiwang	t͡lʰ ʊ . pʰ i . w a . ŋ
tlhophiwa	t͡lʰ ʊ . pʰ i . w a
tlhophiweng	t͡lʰ ʊ . pʰ i . w ɪ . ŋ
tlhophiwe	t͡lʰ ʊ . pʰ i . w ɪ
tlhophologileng	t͡lʰ ʊ . pʰ ʊ . l ʊ . x i . l ɪ . ŋ
tlhophololo	t͡lʰ ʊ . pʰ ʊ . l ʊ . l ʊ
tlhophololwa	t͡lʰ ʊ . pʰ ʊ . l ʊ . l w a
tlhophong	t͡lʰ ʊ . pʰ ʊ . ŋ
tlhopho	t͡lʰ ʊ . pʰ ʊ
tlhopileng	t͡lʰ ʊ . pʼ i . l ɪ . ŋ
tlhopile	t͡lʰ ʊ . pʼ i . l ɪ
tlhopilweng	t͡lʰ ʊ . pʼ i . l w ɪ . ŋ
tlhopilwe	t͡lʰ ʊ . pʼ i . l w ɪ
tlhopiwa	t͡lʰ ʊ . pʼ i . w a
tlhopo	t͡lʰ ʊ . pʼ ʊ
tlhoriso	t͡lʰ ʊ . r i . s ʊ
tlhorungwe	t͡lʰ ʊ . r u . ŋ w ɪ
tlhoseletso	t͡lʰ ʊ . s ɪ . l ɪ . t͡sʼ ʊ
tlhotlha	t͡lʰ ʊ . t͡lʰ a
tlhotlhehetsa	t͡lʰ ʊ . t͡lʰ ɪ . h ɪ . t͡sʼ a
tlhotlheleditseng	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . d i . t͡sʼ ɪ . ŋ
tlhotlheleditsweng	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . d i . t͡sʼ w ɪ . ŋ
tlhotlheleditswe	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . d i . t͡sʼ w ɪ
tlhotlhelediwang	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . d i . w a . ŋ
tlhotlhelediwa	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . d i . w a
tlhotlhelediwe	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . d i . w ɪ
tlhotlheletsang	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . t͡sʼ a . ŋ
tlhotlheletsano	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . t͡sʼ a . n ʊ
tlhotlheletsa	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . t͡sʼ a
tlhotlheletse	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . t͡sʼ ɪ
tlhotlheletso	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . t͡sʼ ʊ
tlhotlheletswang	t͡lʰ ʊ . t͡lʰ ɪ . l ɪ . t͡sʼ w a . ŋ
tlhotlhe	t͡lʰ ʊ . t͡lʰ ɪ
tlhotlhetsa	t͡lʰ ʊ . t͡lʰ ɪ . t͡sʼ a
tlhotlhilweng	t͡lʰ ʊ . t͡lʰ i . l w ɪ . ŋ
tlhotlhiwa	t͡lʰ ʊ . t͡lʰ i . w a
tlhotlhola	t͡lʰ ʊ . t͡lʰ ʊ . l a
tlhotlhololang	t͡lʰ ʊ . t͡lʰ ʊ . l ʊ . l a . ŋ
tlhotlholola	t͡lʰ ʊ . t͡lʰ ʊ . l ʊ . l a
tlhotlhololo	t͡lʰ ʊ . t͡lʰ ʊ . l ʊ . l ʊ
tlhotlhololwa	t͡lʰ ʊ . t͡lʰ ʊ . l ʊ . l w a
tlhotlhomisa	t͡lʰ ʊ . t͡lʰ ʊ . m i . s a
tlhotlhomise	t͡lʰ ʊ . t͡lʰ ʊ . m i . s ɪ
tlhotlhomisi	t͡lʰ ʊ . t͡lʰ ʊ . m i . s i
tlhotlhomisitsweng	t͡lʰ ʊ . t͡lʰ ʊ . m i . s i . t͡sʼ w ɪ . ŋ
tlhotlhomisitswe	t͡lʰ ʊ . t͡lʰ ʊ . m i . s i . t͡sʼ w ɪ
tlhotlhomisiwa	t͡lʰ ʊ . t͡lʰ ʊ . m i . s i . w a
tlhotlhomisiwe	t͡lʰ ʊ . t͡lʰ ʊ . m i . s i . w ɪ
tlhotlhomisong	t͡lʰ ʊ . t͡lʰ ʊ . m i . s ʊ . ŋ
tlhotlhomiso	t͡lʰ ʊ . t͡lʰ ʊ . m i . s ʊ
tlhotlhona	t͡lʰ ʊ . t͡lʰ ʊ . n a
tlhotlhora	t͡lʰ ʊ . t͡lʰ ʊ . r a
tlhotlhorega	t͡lʰ ʊ . t͡lʰ ʊ . r ɪ . x a
