ababalulekile	ababa{lulek}ile
othanda	o{thand}a
othe	o{the}
othile	o{thile}
othi	o{thi}
othisha	o{thish}a
othize	o{thize}
otholakala	o{tholakal}a
otholakale	o{tholakale}
otikana	o{tik}ana
otshelekile	o{tshelekile}
ovela	o{vel}a
owabe	owa{b}e
owabona	owa{bona}
owake	owak{e}
owami	owam{i}
owasebenzisa	owas{ebenzisa}
owasebenzisayo	owa{sebenzisa}yo
owasebenzisile	owa{sebenzis}ile
owasetshenziswa	owas{etshenziswa}
owathi	owa{thi}
owatholakala	owa{tholakala}
owawusetshenziswa	owawu{setshenziswa}
owayehamba	owa{yehamba}
owayehlala	owa{yehlala}
owayelokhu	owa{yelokhu}
owayengaphinde	owa{yengaphind}e
owayesebenza	owa{yesebenza}
owayesebenzela	owa{yesebenzela}
owayesifanele	owa{yesifanel}e
owayibona	owayi{bona}
owaziwa	owazi{wa}
owengamele	ow{engamel}e
owenza	ow{enza}
owenzeka	ow{enzeka}
owenzekayo	ow{enzeka}yo
owenzekile	ow{enzek}ile
owenziwa	ow{enziwa}
owenziwayo	ow{enziwa}yo
owenziwe	ow{enziw}e
owesifazane	ow{esifaz}ane
owodwa	ow{odwa}
oyaziyo	oy{aziyo}
oyedwa	oy{edwa}
oyisebenzisayo	oy{isebenzisa}yo
oyisho	oy{isho}
oyishoyo	oy{ishoyo}
oyisifundiswa	oy{isifundiswa}
oyisihlabathi	oy{isihlabathi}
oyisihlobo	oy{isihlobo}
oyisikhulu	oy{isikhulu}
oyisiphathimandla	oy{isiphathimandla}
oyisisebenzi	oy{isisebenzi}
oyizwe	oy{izw}e
ozakwabo	oz{akwabo}
ozakwethu	oz{akwethu}
ozalwa	oza{lwa}
ozayo	o{z}ayo
ozokusebenzisa	oz{okusebenzisa}
phakathi	{phakathi}
phambilini	{phambilini}
phambili	{phambili}
phambi	{phambi}
phandle	{phandle}
phansi	{phansi}
phathi	{phathi}
phela	{phel}a
phephandaba	{phephandab}a
phesheya	{pheshey}a
phezulu	{phezulu}
phezu	{phezu}
phindela	{phindel}a
phinde	{phinde}
pho	{pho}
phuhle	{phuhle}
phuma	{phum}a
phuthuma	{phuthum}a
qakala	{qakal}a
qala	{qal}a
qaphela	{qaphel}a
qathatha	{qathath}a
qekelele	{qekelele}
qha	{qh}a
qhamu	{qhamu}
qhude	{qhude}
qwabe	{qwabe}
sabafundi	saba{fundi}
sabantwana	saba{ntw}ana
sabaphathi	saba{phathi}
saba	sa{ba}
sabasebenzela	saba{sebenzela}
sabasebenzi	saba{sebenzi}
sabonakala	sa{bonakala}
sabona	sa{bona}
sabo	sabo
sagcina	sa{gcina}
sakhe	sak{he}
sakhethwa	sak{hethwa}
sakhombisa	sak{hombisa}
sakhona	sak{hona}
sakho	sakho
sakhuluma	sak{huluma}
sakubona	saku{bona}
salapha	sala{pha}
sala	sa{la}
sale	sa{l}e
salo	salo
samagama	sama{gama}
sami	sami
sangaphakathi	san{gaphakathi}
saqala	sa{qala}
sasebenzisa	sasebe{nzisa}
sasetshenziswa	sas{etshenziswa}
sasho	sas{ho}
sasifundiswa	sasi{fundiswa}
sasisebenza	sasi{sebenza}
saso	saso
sathi	sa{thi}
saya	say{a}
sayo	sayo
saze	saz{e}
sazi	saz{i}
sebebadala	sebe{badala}
sebebonakala	sebe{bonakala}
sebebuya	sebe{buya}
sebekhona	sebe{khona}
sebekwazi	sebe{kwazi}
sebengabasebenzi	sebe{ngabasebenzi}
sebengaphezu	sebe{ngaphezu}
sebengene	sebe{ngene}
sebengenwe	sebe{ngenwe}
sebengithathele	sebe{ngithathele}
sebenza	sebe{nza}
sebenzayo	sebe{nzayo}
sebenze	sebe{nze}
sebenzisana	sebe{nzis}ana
sebenzisa	sebe{nzisa}
sebenzi	sebe{nzi}
sebeqala	sebe{qala}
sebethi	sebe{thi}
sebethuthukile	sebe{thuthukile}
sekhala	sek{hala}
sekhanda	sek{handa}
sekhansela	sek{hansela}
sekhono	sek{hono}
sekhula	sek{hula}
sekubekhona	seku{bekhona}
sekubhaliwe	seku{bhaliwe}
sekubhekelwe	seku{bhekelwe}
sekubonakala	seku{bonakala}
sekuchazwe	seku{chazwe}
sekudingeka	seku{dingeka}
sekufanele	seku{fanele}
sekufike	seku{fike}
sekugcwele	seku{gcwele}
sekuhambe	seku{hambe}
sekuhlanganiswa	seku{hlanganiswa}
sekuhlangene	seku{hlangene}
sekuhlelwe	seku{hlelwe}
sekuhlolwa	seku{hlolwa}
sekuhlolwe	seku{hlolwe}
sekukaningi	seku{kaningi}
sekukhala	seku{khala}
sekukhishwa	seku{khishwa}
sekukhona	seku{khona}
sekukhule	seku{khule}
sekukhulunywe	seku{khulunywe}
sekukubi	seku{kubi}
sekulunge	seku{lunge}
sekunesikhathi	seku{nesikhathi}
sekungathi	seku{ngathi}
sekungcono	seku{ngcono}
sekuphela	seku{phela}
sekuphelele	seku{phelele}
sekuphelelwe	seku{phelelwe}
sekupheleni	seku{phel}eni
sekuphele	seku{phele}
sekuphelile	seku{phelile}
sekuphinde	seku{phinde}
sekuqala	seku{qala}
sekuqhubeka	seku{qhubeka}
sekusele	seku{sele}
sekusesikhathini	seku{sesikhath}ini
sekusetshenziselwa	seku{setshenziselwa}
sekusetshenzwa	seku{setshenzwa}
sekushiwo	seku{shiwo}
sekusho	seku{sho}
sekusile	seku{sile}
sekusobala	seku{sobala}
sekusondela	seku{sondela}
sekusondele	seku{sondele}
sekuthanda	seku{thanda}
sekuthathwa	seku{thathwa}
sekuthathwe	seku{thathwe}
sekuthethwa	seku{thethwa}
sekuthi	seku{thi}
sekutholakala	seku{tholakala}
sekutholakale	seku{tholakale}
sekuthole	seku{thole}
sekuthuthukisiwe	seku{thuthukisiwe}
sekuvalwe	seku{valwe}
sekuvela	seku{vela}
sekuvele	seku{vele}
sekuvulwa	seku{vulwa}
sekuxoxwa	seku{xoxwa}
sekuyenzeka	seku{yenzeka}
sekuyindlela	seku{yindlela}
sekuyisikhathi	seku{yisikhathi}
sekuyisiphetho	seku{yisiphetho}
sekuyizinyanga	seku{yizinyanga}
sekuyothathwa	seku{yothathwa}
sekuze	seku{ze}
sekwenza	sekw{enza}
sekwenzeka	sekw{enzeka}
sekwenzeke	sekw{enzeke}
sekwenzenjani	sekw{enzenjani}
sekwenziwa	sekw{enziwa}
sekwenziwe	sekw{enziwe}
selishona	seli{shona}
seliyoshona	seli{yoshona}
selize	seli{ze}
selokhu	selokh{u}
selwenziwe	selw{enziwe}
semisebenzi	semi{sebenzi}
semishani	semi{shani}
sempilo	sem{pilo}
semqoka	sem{qoka}
sencwadi	sen{cwadi}
sendaba	sen{daba}
sendlala	sen{dlala}
sendlela	sen{dlela}
sendoda	sen{doda}
sengane	sen{g}ane
sengathi	sen{gathi}
sengibheka	sen{gibheka}
sengibonakala	sen{gibonakala}
sengibona	sen{gibona}
sengibone	sen{gibone}
sengicela	sen{gicela}
sengifikile	s{engifik}ile
sengifuna	sen{gifuna}
sengihamba	sen{gihamba}
sengihambile	s{engihamb}ile
sengihlala	sen{gihlala}
sengikhathele	sen{gikhathele}
sengikhona	sen{gikhona}
sengikhulume	sen{gikhulume}
sengimdala	sen{gimdala}
sengiqedile	s{engiqed}ile
sengisebenza	sen{gisebenza}
sengithatha	sen{githatha}
sengithole	sen{githole}
sengiyabona	sen{giyabona}
sengiyabonga	sen{giyabonga}
sengiyahamba	sen{giyahamba}
sengiyakhumbula	sen{giyakhumbula}
sengiyakwazi	sen{giyakwazi}
sengiyazi	sen{giyazi}
sengqondo	sen{gqondo}
sengxenye	sen{gxenye}
senhlalo	sen{hlalo}
senhlangano	sen{hlangano}
senhliziyo	sen{hliziyo}
senhlobo	sen{hlobo}
senkosi	sen{kosi}
sentombi	sen{tombi}
senza	sen{za}
senzeka	sen{zeka}
senzekile	s{enzek}ile
senzenjani	sen{zenjani}
senze	sen{ze}
senziwa	sen{ziwa}
senziwe	sen{ziwe}
sesethemba	ses{ethemba}
sesibhaliwe	sesi{bhaliwe}
sesibhekene	sesi{bhekene}
sesibheke	sesi{bheke}
sesibili	sesi{bili}
sesibona	sesi{bona}
sesibone	sesi{bone}
sesibonile	sesi{bonile}
sesifunda	sesi{funda}
sesihamba	sesi{hamba}
sesihambe	sesi{hambe}
sesihambisane	sesi{hambis}ane
sesihambisa	sesi{hambisa}
sesihlalo	sesi{hlalo}
sesihlanu	sesi{hlanu}
sesikhala	sesi{khala}
sesikhashana	sesi{khash}ana
sesikhathini	sesi{khath}ini
sesikhathi	sesi{khathi}
sesikhombisa	sesi{khombisa}
sesikhona	sesi{khona}
sesikhule	sesi{khule}
sesikhuluma	sesi{khuluma}
sesikhulumile	sesi{khulumile}
sesikhulu	sesi{khulu}
sesikhumba	sesi{khumba}
sesikoleni	sesi{kol}eni
sesikole	sesi{kole}
sesingathumela	sesi{ngathumela}
sesingcono	sesi{ngcono}
sesiphakathi	sesi{phakathi}
sesiphandla	sesi{phandla}
sesiphathimandla	sesi{phathimandla}
sesiphelele	sesi{phelele}
sesiphinde	sesi{phinde}
sesiqhubeke	sesi{qhubeke}
sesisebenza	sesi{sebenza}
sesisebenzi	sesi{sebenzi}
sesishilo	sesi{shilo}
sesiside	sesi{side}
sesithathe	sesi{thathe}
sesithathu	sesi{thathu}
sesithi	sesi{thi}
sesithole	sesi{thole}
sesitimela	sesi{timela}
sesiyobona	sesi{yobona}
sethu	sethu
setshenziswa	se{tshenziswa}
seza	sez{a}
sezehlulekile	s{ezehlulek}ile
sezemfundo	sez{emfundo}
sezemisebenzi	sez{emisebenzi}
sezifunda	sezi{funda}
sezifundo	sezi{fundo}
sezihamba	sezi{hamba}
sezihlangene	sezi{hlangene}
sezihlobo	sezi{hlobo}
sezikhathi	sezi{khathi}
sezikhona	sezi{khona}
sezimali	sezim{ali}
sezincwadi	sezin{cwadi}
sezindaba	sezin{daba}
sezindaweni	sezin{daw}eni
sezindawo	sezin{dawo}
sezindlela	sezin{dlela}
sezingane	sezin{g}ane
sezingeni	sezin{g}eni
sezinhlangano	sezin{hlangano}
sezinhlanga	sezin{hlanga}
sezinhlanzi	sezin{hlanzi}
sezinhlelo	sezin{hlelo}
sezinhlobo	sezin{hlobo}
sezinkampani	sezin{kampani}
sezinkomba	sezin{komba}
sezinkomo	sezin{komo}
sezinqubo	sezin{qubo}
sezinsiza	sezin{siza}
sezinto	sezin{to}
sezinyanga	sezin{yanga}
seziphathimandla	sezi{phathimandla}
seziphinde	sezi{phinde}
sezisebenza	sezi{sebenza}
sezisebenzi	sezi{sebenzi}
sezisetshenziswa	sezi{setshenziswa}
sezisetshenziswe	sezi{setshenziswe}
sezithathiwe	sezi{thathiwe}
sezitholakala	sezi{tholakala}
sezwa	sez{wa}
shalu	s{halu}
shenziswa	s{henziswa}
shi	s{hi}
shu	s{hu}
shwele	s{hwel}e
sibamba	siba{mba}
sibathola	siba{thola}
sibe	si{b}e
sibhala	si{bhala}
sibhalele	si{bhalel}e
sibhaliwe	si{bhaliw}e
sibhalwe	si{bhalw}e
sibhedlela	si{bhedlela}
sibhekana	si{bhek}ana
sibheka	si{bheka}
sibhekela	si{bhekela}
sibhekelela	si{bhekelela}
sibhekelele	si{bhekelel}e
sibhekele	si{bhekel}e
sibhekene	si{bheken}e
sibheke	si{bhek}e
sibonakala	sibo{nakala}
sibonakale	sibo{nakal}e
sibonana	si{bon}ana
sibona	sibo{na}
sibonelelo	si{bonelelo}
sibone	sibo{n}e
sicabanga	si{cabanga}
sicabangela	si{cabangela}
sicabangele	si{cabangel}e
sicela	si{cela}
sifanelekile	si{fanelek}ile
sifanele	si{fanel}e
sifuna	si{funa}
sifunda	si{funda}
sifunde	si{fund}e
sifundile	si{fund}ile
sifundise	si{fundis}e
sifundo	si{fundo}
sifundwa	si{fundwa}
sigcina	si{gcina}
sigula	si{gula}
sigungu	si{gungu}
sihamba	si{hamba}
sihambeni	si{hambeni}
sihambe	si{hamb}e
sihambisana	si{hambis}ana
sihambisane	si{hambis}ane
sihambisa	si{hambisa}
sihlahle	si{hlahl}e
sihlala	si{hlala}
sihlale	si{hlal}e
sihlalo	si{hlalo}
sihlangabezane	si{hlangabez}ane
sihlangana	si{hlang}ana
sihlangane	si{hlang}ane
sihlanganisa	si{hlanganisa}
sihlangene	si{hlangen}e
sihlanzekile	si{hlanzek}ile
sihlela	si{hlela}
sihlezi	si{hlezi}
sihlobo	si{hlobo}
sihlola	si{hlola}
sihlole	si{hlol}e
sihlolwe	si{hlolw}e
sikahulumeni	sika{hulumeni}
sika	sik{a}
sikhala	sik{hala}
sikhathi	sik{hathi}
sikhomba	sik{homba}
sikhombisa	sik{hombisa}
sikhona	sik{hona}
sikhula	sik{hula}
sikhulekile	si{khulek}ile
sikhululekile	si{khululek}ile
sikhuluma	sik{huluma}
sikhulumele	sik{hulumele}
sikhulume	sik{hulume}
sikhulumisana	sik{hulumis}ana
sikhulumisane	sik{hulumis}ane
sikhulu	sik{hulu}
sikhumbula	sik{humbula}
sikhumbule	sik{humbule}
sikhuthazane	sik{huthaz}ane
sikole	sik{ole}
sikubona	siku{bona}
sikuthatha	siku{thatha}
sikwazi	sikwa{zi}
silapha	si{lapha}
silokhu	si{lokhu}
silwe	silw{e}
simane	si{m}ane
sinazo	sinazo
sindawonye	sin{dawonye}
sinesikhathi	sinesi{khathi}
sinezindawo	sinezin{dawo}
singabangela	singaba{ngela}
singabantu	singaba{ntu}
singabe	singa{be}
singabhala	singa{bhala}
singafana	singa{f}ana
singafanela	singa{fanela}
singafanelekile	singa{fanelekile}
singafanele	singa{fanele}
singafunda	singa{funda}
singahamba	singa{hamba}
singahlanganisa	singa{hlanganisa}
singahlangani	singa{hlangani}
singahlanganiswa	singa{hlanganiswa}
singahlela	singa{hlela}
singahle	singa{hle}
singakhishwa	singak{hishwa}
singakhula	singak{hula}
singakufanisa	singaku{fanisa}
singakuvumela	singaku{vumela}
singakwazi	singakwa{zi}
singakwenza	singakw{enza}
singakwenzi	singakw{enzi}
singamakholwa	singama{kholwa}
singamantombazane	singama{ntombaz}ane
singanele	singane{le}
singangena	singangen{a}
singangeni	singangen{i}
singaphambi	singa{phambi}
singaphandle	singa{phandle}
singaphansi	singa{phansi}
singaphathi	singa{phathi}
singaphathwa	singa{phathwa}
singaphela	singa{phela}
singaphetha	singa{phetha}
singaphezulu	singa{phezulu}
singaphezu	singa{phezu}
singaphinda	singa{phinda}
singaphinde	singa{phinde}
singaphuma	singa{phuma}
singaphumelela	singa{phumelela}
singaphumeleli	singa{phumeleli}
singaqhubeka	singa{qhubeka}
singasebenza	singas{ebenza}
singasebenzisana	singas{ebenzis}ana
singasebenzisa	singas{ebenzisa}
singasebenzi	singas{ebenzi}
singase	singas{e}
singasetshenziswa	singas{etshenziswa}
singashaya	singas{haya}
singasho	singas{ho}
singathanda	singa{thanda}
singathatha	singa{thatha}
singathathi	singa{thathi}
singathathwa	singa{thathwa}
singathini	singa{thini}
singathi	singa{thi}
singatholakala	singa{tholakala}
singathola	singa{thola}
singathumela	singa{thumela}
singathuthukisa	singa{thuthukisa}
singazifundisa	singazi{fundisa}
singazikhathazi	singazi{khathazi}
singcono	sing{cono}
singeke	singek{e}
singene	singen{e}
singenzeka	singen{zeka}
singenzenjani	singen{zenjani}
singenziwanga	singen{ziwanga}
singenziwa	singen{ziwa}
sinika	sinik{a}
sinjani	sin{jani}
sinye	sinye
siphakathi	si{phakathi}
siphandla	si{phandla}
siphatha	si{phatha}
siphathe	si{phath}e
siphathimandla	si{phathimandla}
siphathwa	si{phathwa}
siphathwe	si{phathw}e
siphela	si{phela}
siphelela	si{phelela}
siphelele	si{phelel}e
siphelelo	si{phelelo}
siphelelwa	si{phelelwa}
siphelelwe	si{phelelw}e
siphele	si{phel}e
siphendula	si{phendula}
siphephile	si{pheph}ile
siphethe	si{pheth}e
siphetho	si{phetho}
siphezulu	si{phezulu}
siphikisana	si{phikis}ana
siphile	si{ph}ile
siphinda	si{phinda}
siphindela	si{phindela}
siphinde	si{phind}e
siphi	si{phi}
siphuma	si{phuma}
siphumelela	si{phumelela}
siphumelele	si{phumelel}e
siphumele	si{phumel}e
siphuthume	si{phuthum}e
siqeda	si{qeda}
siqhubeka	si{qhubeka}
siqhubekele	si{qhubekel}e
siqonde	si{qond}e
sisebenza	sis{ebenza}
sisebenzela	sis{ebenzela}
sisebenzele	sis{ebenzele}
sisebenze	sis{ebenze}
sisebenzisana	sis{ebenzis}ana
sisebenzisane	sis{ebenzis}ane
sisebenzisa	sis{ebenzisa}
sisebenzise	sis{ebenzise}
sisebenzi	sis{ebenzi}
sisekhona	sis{ekhona}
sisesikhathini	sis{esikhathini}
sisetshenziselwa	sis{etshenziselwa}
sisetshenziselwe	sis{etshenziselwe}
sisetshenziswa	sis{etshenziswa}
sisetshenziswe	sis{etshenziswe}
sisetshenzwa	sis{etshenzwa}
sisho	sis{ho}
sisikhombisa	sisi{khombisa}
sisiza	sisi{za}
sisobabili	sis{obabili}
sithanda	si{thanda}
sithatha	si{thatha}
sithatheke	si{thathek}e
sithathe	si{thath}e
sithathiwe	si{thathiw}e
sithathwa	si{thathwa}
sithathwe	si{thathw}e
sithemba	si{themba}
sithe	si{th}e
sithethe	si{theth}e
sithintana	si{thint}ana
sithi	si{thi}
sitholakala	si{tholakala}
sitholakale	si{tholakal}e
sithola	si{thola}
sithole	si{thol}e
sitholwa	si{tholwa}
sithuthukisa	si{thuthukisa}
sithuthukiswe	si{thuthukisw}e
sitimela	si{timela}
sitshela	si{tshela}
sitshele	si{tshel}e
sivale	si{val}e
siyabonana	siy{abon}ana
siyabona	siya{bona}
siyabonga	siya{bonga}
siyahamba	siya{hamba}
siyahambisana	siy{ahambis}ana
siyakhethwa	siyak{hethwa}
siyakubona	siyaku{bona}
siyakusebenza	siyaku{sebenza}
siyakuthola	siyaku{thola}
siyakwazi	siyakw{azi}
siyaphumelela	siya{phumelela}
siyaqhubeka	siya{qhubeka}
siyasebenza	siyas{ebenza}
siyasebenzisana	siyas{ebenzis}ana
siyasetshenziswa	siyas{etshenziswa}
siya	siy{a}
siyatholakala	siya{tholakala}
siyayithola	siyayi{thola}
siyazi	siyaz{i}
siyekele	siyek{ele}
siyeke	siyek{e}
siye	siy{e}
siyethemba	siye{themba}
siyobe	siyo{b}e
siyobhala	siyo{bhala}
siyobhalwa	siyo{bhalwa}
siyobhekelela	siyo{bhekelela}
siyohambisana	siyo{hambis}ana
siyokwazi	siyokw{azi}
siyokwenza	siyokw{enza}
siyokwenziwa	siyokw{enziwa}
siyosebenzisa	siyos{ebenzisa}
siyosetshenziselwa	siyos{etshenziselwa}
siyosetshenziswa	siyos{etshenziswa}
siyothatha	siyo{thatha}
siyothathwa	siyo{thathwa}
siyothi	siyo{thi}
siyotholakala	siyo{tholakala}
sizakuqhubeka	siz{akuqhubeka}
sizakwenziwa	siz{akwenziwa}
sizama	siz{ama}
sizamile	si{zam}ile
sizasebenzisa	siz{asebenzisa}
siza	siz{a}
size	siz{e}
sizihlalele	sizi{hlalel}e
siziphathe	sizi{phath}e
sizokukhombisa	sizoku{khombisa}
sizokuthatha	sizoku{thatha}
sizokutshela	sizoku{tshela}
sizothatha	sizo{thatha}
sizotholakala	sizo{tholakala}
sizothola	sizo{thola}
sizwakala	siz{wakala}
sizwa	siz{wa}
sizwe	siz{we}
sobabili	soba{bili}
sobala	soba{la}
sokela	sok{ela}
sokubaluleka	soku{baluleka}
sokubambisana	soku{bambis}ana
sokuba	soku{ba}
sokubeka	soku{beka}
sokubhala	soku{bhala}
sokubhekana	soku{bhek}ana
sokubheka	soku{bheka}
sokubhekela	soku{bhekela}
sokubona	soku{bona}
sokubonelela	soku{bonelela}
sokucabanga	soku{cabanga}
sokuchitha	soku{chitha}
sokudala	soku{dala}
sokudlala	soku{dlala}
sokufakela	soku{fakela}
sokufakelelwa	soku{fakelelwa}
sokufanela	soku{fanela}
sokufaneleka	soku{faneleka}
sokufuna	soku{funa}
sokufunda	soku{funda}
sokufundela	soku{fundela}
sokufundisa	soku{fundisa}
sokufundwa	soku{fundwa}
sokugcina	soku{gcina}
sokugcizelela	soku{gcizelela}
sokugunyazwa	soku{gunyazwa}
sokuhamba	soku{hamba}
sokuhambisana	soku{hambis}ana
sokuhambisa	soku{hambisa}
sokuhlala	soku{hlala}
sokuhlangana	soku{hlang}ana
sokuhlanganisa	soku{hlanganisa}
sokuhlanganiswa	soku{hlanganiswa}
sokuhlela	soku{hlela}
sokuhlelela	soku{hlelela}
sokuhlelwa	soku{hlelwa}
sokuhlola	soku{hlola}
sokuhlolwa	soku{hlolwa}
sokuhluka	soku{hluka}
sokuhluleka	soku{hluleka}
sokuhlunga	soku{hlunga}
sokukhombisa	soku{khombisa}
sokukhula	soku{khula}
sokukhulula	soku{khulula}
sokukhululeka	soku{khululeka}
sokukhululwa	soku{khululwa}
sokukhuluma	soku{khuluma}
sokulisebenzisa	soku{lisebenzisa}
sokungahambisani	soku{ngahambisani}
sokungakwazi	soku{ngakwazi}
sokungasebenzi	soku{ngasebenzi}
sokungaziphathi	soku{ngaziphathi}
sokungazi	soku{ngazi}
sokungena	soku{ngena}
sokungenzi	soku{ngenzi}
sokunikela	soku{nikela}
sokunikwa	soku{nikwa}
sokuphatha	soku{phatha}
sokuphathwa	soku{phathwa}
sokuphela	soku{phela}
sokuphenduka	soku{phenduka}
sokuphendula	soku{phendula}
sokuphikisana	soku{phikis}ana
sokuphinda	soku{phinda}
sokuphindisela	soku{phindisela}
sokuphuma	soku{phuma}
sokuqala	soku{qala}
sokuqeqesha	soku{qeqesha}
sokuqeqeshwa	soku{qeqeshwa}
sokuqhuba	soku{qhuba}
sokuqhubeka	soku{qhubeka}
sokuqhubekela	soku{qhubekela}
sokuqhudelana	soku{qhudel}ana
sokuqikelela	soku{qikelela}
sokuqinisa	soku{qinisa}
sokuqondisa	soku{qondisa}
sokuqondiswa	soku{qondiswa}
sokusebenza	soku{sebenza}
sokusebenzela	soku{sebenzela}
sokusebenzisana	soku{sebenzis}ana
sokusebenzisa	soku{sebenzisa}
sokusentshenziswa	soku{sentshenziswa}
sokusetshenziselwa	soku{setshenziselwa}
sokusetshenziswa	soku{setshenziswa}
sokushaya	soku{shaya}
sokushona	soku{shona}
sokusizwa	soku{sizwa}
sokuthamba	soku{thamba}
sokuthanda	soku{thanda}
sokuthatha	soku{thatha}
sokuthathwa	soku{thathwa}
sokuthela	soku{thela}
sokuthethwa	soku{thethwa}
sokuthi	soku{thi}
sokutholakala	soku{tholakala}
sokuthola	soku{thola}
sokutholwa	soku{tholwa}
sokuthula	soku{thula}
sokuthumba	soku{thumba}
sokuthumela	soku{thumela}
sokuthutha	soku{thutha}
sokuthuthukisa	soku{thuthukisa}
sokuthuthukiswa	soku{thuthukiswa}
sokuvumela	soku{vumela}
sokuxhumana	soku{xhum}ana
sokuxhuma	soku{xhuma}
sokuxoxa	soku{xoxa}
sokuzivikela	soku{zivikela}
sokwenza	sokw{enza}
sokwenzeka	sokw{enzeka}
sokwenzenjalo	sokw{enzenjalo}
sokwenziwa	sokw{enziwa}
solimi	soli{mi}
somasipala	soma{sipala}
somhlahlandlela	som{hlahlandlela}
somphakathi	som{phakathi}
somphathi	som{phathi}
somsebenzi	som{sebenzi}
somthethonkambiso	som{thethonkambiso}
somthethosisekelo	som{thethosisekelo}
somthetho	som{thetho}
somuntu	somu{ntu}
sona	sona
sonke	sonke
suka	suk{a}
thatha	{thath}a
thelefoni	{thelefoni}
the	{the}
thina	{thin}a
thisha	{thish}a
thize	{thize}
tho	{tho}
thula	{thul}a
thushu	{thushu}
thu	{thu}
thuthukisa	{thuthukis}a
thuthu	{thuthu}
thwi	{thwi}
ubaba	uba{ba}
ubala	uba{la}
ubalulekile	uba{lulek}ile
ubandlululo	uba{ndlululo}
ubani	uba{ni}
uba	u{ba}
ubekade	ube{kade}
ubeka	ube{ka}
ubeke	ube{ke}
ubekhona	ube{khona}
ubekhuluma	ube{khuluma}
ubesho	ube{sho}
ubethe	ube{the}
ube	u{b}e
ubhala	u{bhala}
ubhalwe	u{bhalw}e
ubheka	u{bheka}
ubhekela	u{bhekela}
ubhekelela	u{bhekelela}
ubhekelele	u{bhekelel}e
ubhekele	u{bhekel}e
ubhekene	u{bheken}e
ubhekeni	u{bhekeni}
ubheke	u{bhek}e
ubiza	u{biza}
ubize	u{biz}e
ubomvu	u{bomvu}
ubonakala	ubo{nakala}
ubona	ubo{na}
ubonelele	ubo{nelel}e
ubone	ubo{n}e
ubonga	ubo{nga}
uboya	ubo{ya}
ubozama	ubo{zama}
ububanzi	ubu{banzi}
ububi	ubu{bi}
ububona	ubu{bona}
ubuchopho	ubu{chopho}
ubudala	ubu{dala}
ubude	ubu{d}e
ubudlelwana	ubu{dlelw}ana
ubudlelwane	ubu{dlelw}ane
ubudlelwano	ubu{dlelwano}
ubudoda	ubu{doda}
ubudokotela	ubu{dokotela}
ubufakazi	ubu{fa}kazi
ubuhlala	ubu{hlala}
ubuhlanga	ubu{hlanga}
ubuhle	ubu{hl}e
ubuhlobo	ubu{hlobo}
ubuhlungu	ubu{hlungu}
ubuholi	ubu{holi}
ubuhumusha	ubu{humusha}
ubukhuluma	ubu{khuluma}
ubulili	ubu{lili}
ubumnandi	ubu{mnandi}
ubungane	ubu{ng}ane
ubungathanda	ubu{ngathanda}
ubungazi	ubu{ngazi}
ubungcono	ubu{ngcono}
ubungekho	ubu{ngekho}
ubunjalo	ubu{njalo}
ubuntombi	ubu{ntombi}
ubuntu	ubu{ntu}
ubunyoninco	ubu{nyoninco}
ubunzima	ubu{nzima}
ubuphakathi	ubu{phakathi}
ubusoka	ubu{soka}
ubuso	ubu{so}
ubusuku	ubu{suku}
ubuthakathi	ubu{thakathi}
ubuthisha	ubu{thisha}
ubuthi	ubu{thi}
ubuthongo	ubu{thongo}
ubuye	ubu{y}e
ubuyile	ubu{y}ile
ucabangani	{ucabang}ani
ucabanga	u{cabanga}
ucela	u{cela}
ucelemba	u{celemba}
uchakijana	u{chakij}ana
uchitha	u{chitha}
ucingo	u{cingo}
ucwaningo	u{cwaningo}
udaba	u{daba}
udadewabo	u{dadewabo}
udaka	u{daka}
udingane	u{ding}ane
udinga	u{dinga}
udingekile	u{dingek}ile
udlala	u{dlala}
udokotela	u{dokotela}
udosi	u{dosi}
ufana	u{f}ana
ufanelekile	u{fanelek}ile
ufanele	u{fanel}e
ufike	u{fik}e
ufisa	u{fisa}
ufudu	u{fudu}
ufuna	u{funa}
ufunda	u{funda}
ufunde	u{fund}e
ufundile	u{fund}ile
ufundisa	u{fundisa}
ufundisiwe	u{fundisiw}e
ufundwa	u{fundwa}
ugalaza	u{galaza}
ugcina	u{gcina}
ugcine	u{gcin}e
ugcizelela	u{gcizelela}
ugcwele	u{gcwel}e
ugesi	u{gesi}
ugijima	u{gijima}
ugqiha	u{gqiha}
ugula	u{gula}
ugunyazo	u{gunyazo}
uguquke	u{guquk}e
uguquko	u{guquko}
ugwayi	u{gwayi}
uhamba	u{hamba}
uhambe	u{hamb}e
uhambisana	u{hambis}ana
uhambisane	u{hambis}ane
uhambisa	u{hambisa}
uhambo	u{hambo}
uhlakaniphile	u{hlakaniph}ile
uhlaka	u{hlaka}
uhlalaphi	u{hlalaphi}
uhlala	u{hlala}
uhlalele	u{hlalel}e
uhlale	u{hlal}e
uhlanganele	u{hlanganel}e
uhlangane	u{hlang}ane
uhlangothi	u{hlangothi}
uhlanzekile	u{hlanzek}ile
uhla	u{hla}
uhleka	u{hleka}
uhleko	u{hleko}
uhlela	u{hlela}
uhlelelwe	u{hlelelw}e
uhlele	u{hlel}e
uhlelomsebenzi	u{hlelomsebenzi}
uhlelo	u{hlelo}
uhlelwe	u{hlelw}e
