a	A:
sindrome	s @ n d r u@ m @
sindroom	s @ n d r u@ m
sinergie	s @ n @ r x i
singapoerse	s i N g a p u r s @
singende	s @ N @ n d @
singer	s @ N @ r
singers	s @ N @ r s
sing	s @ N
siniese	s i n i s @
sinies	s i n i s
sinistere	s @ n @ s t @ r @
sinkdak	s @ N k d a k
sinkende	s @ N k @ n d @
sinkgat	s @ N k x a t
sinkplate	s @ N k p l A: t @
sinkretisme	s @ n k r @ t @ s m @
sink	s @ N k
sinloos	s @ n l u@ s
sinlose	s @ n l u@ s @
sinneloos	s @ n @ l u@ s
sinnelose	s @ n @ l u@ s @
sinne	s @ n @
sinodale	s @ n u d A: l @
sinode	s @ n u@ d @
sinonieme	s @ n u n i m @
sinoniem	s @ n u n i m
sinoptiese	s @ n O p t i s @
sinryk	s @ n r @i k
sinsdele	s @ n s d i@ l @
sinskonstruksie	s @ n s k O n s t r 9 k s i
sin	s @ n
sinspeel	s @ n s p i@ l
sintetiese	s @ n t i@ t i s @
sintuie	s @ n t 9y @
sintuiglike	s @ n t 9y x l @ k @
sintuig	s @ n t 9y x
sinusitis	s i n 9 s i t @ s
sinvolheid	s @ n f O l h\ @i t
sinvolle	s @ n f O l @
sinvol	s @ n f O l
sipresse	s i p r E s @
sirene	s @ r i@ n @
sirenes	s @ r i@ n @ s
sirkelroete	s @ r k @ l r u t @
sirkel	s @ r k @ l
sirkels	s @ r k @ l s
sirkulasie	s @ r k y l A: s i
sirkulatoriese	s @ r k y l a t u@ r i s @
sirkus	s @ r k 9 s
sisteem	s @ s t i@ m
sisteemteorie	s @ s t i@ m t i u r i
sistematiese	s @ s t @ m A: t i s @
sistematiseer	s @ s t @ m a t i s i@ r
sistematisering	s @ s t @ m a t i s i@ r @ N
sistemiese	s @ s t i@ m i s @
sitkamers	s @ t k A: m @ r s
sitkamerstel	s @ t k A: m @ r s t { l
sitkamer	s @ t k A: m @ r
sitoplasma	s i t u p l a s m a
sitplekgordels	s @ t p l { k x O r d @ l s
sitplekke	s @ t p l { k @
sitplek	s @ t p l { k
sitrus	s i t r 9 s
sit	s @ t
sittings	s @ t @ N s
sitting	s @ t @ N
situasies	s @ t S u A: s i s
situasie	s @ t S u A: s i
situasionele	s @ t S u A: S i u n i@ l @
sitvlak	s @ t f l a k
siviele	s @ f i l @
sjampanje	S a m p a n j @
sjampoe	S a m p u
sjarmante	S a r m a n t @
sjarmant	S a r m a n t
sjarme	S a r m @
sjebeen	S @ b i n
sjebeens	S @ b i n s
sjebien	S @ b i n
sjef	S E f
sjefs	S E f s
sjerrie	S E r i
sjielings	S i l @ N s
sjimpansee	S @ m p a n z i@
sjimpansees	S @ m p a n z i@ s
sjoe	S u
sjokolade	S O k u l A: d @
skaad	s k A: t
skaaf	s k A: f
skaafwerk	s k A: f v { r k
skaak	s k A: k
skaal	s k A: l
skaam	s k A: m
skaamte	s k A: m t @
skaapboud	s k A: p b @u t
skaap	s k A: p
skaapvleis	s k A: p f l @i s
skaarsheid	s k A: r s h\ @i t
skaar	s k A: r
skaars	s k A: r s
skaats	s k A: t s
skadelike	s k A: d @ l @ k @
skadelik	s k A: d @ l @ k
skade	s k A: d @
skadevergoeding	s k A: d @ f @ r x u d @ N
skadu	s k A: d y
skaduwee	s k A: d y v i@
skaduwees	s k A: d y v i@ s
skaflike	s k a f l @ k @
skaflik	s k a f l @ k
skaf	s k a f
skag	s k a x
skagte	s k a x t @
skakelbeampte	s k A: k @ l b @ a m p t @
skakelbestuurder	s k A: k @ l b @ s t y r d @ r
skakelbord	s k A: k @ l b O r t
skakelhoof	s k A: k @ l h\ u@ f
skakeling	s k A: k @ l @ N
skakeloffisier	s k A: k @ l O f @ s i r
skakelpaar	s k A: k @ l p A: r
skakel	s k A: k @ l
skakels	s k A: k @ l s
skakelwerk	s k A: k @ l v { r k
skakerings	s k a k i@ r @ N s
skale	s k A: l @
skamele	s k A: m @ l @
skandaal	s k a n d A: l
skandalige	s k a n d A: l @ x @
skandalig	s k a n d A: l @ x
skandelike	s k a n d @ l @ k @
skandering	s k a n d i@ r @ N
skande	s k a n d @
skandinawië	s k a n d i n A: v i@
skans	s k a n s
skape	s k A: p @
skare	s k A: r @
skares	s k A: r @ s
skarrel	s k a r @ l
skaterlag	s k A: t @ r l a x
skater	s k A: t @ r
skatkis	s k a t k @ s
skatkiswissels	s k a t k @ s v @ s @ l s
skatryk	s k a t r @i k
skat	s k a t
skattejag	s k a t @ j a x
skatte	s k a t @
skatting	s k a t @ N
skattings	s k a t @ N s
skedel	s k i@ d @ l
skede	s k i@ d @
skeduleer	s k E d y l i@ r
skedulering	s k E d y l i@ r @ N
skedule	s k @ d y l @
skedules	s k @ d y l @ s
skeefgeloop	s k i@ f x @ l u@ p
skeefloop	s k i@ f l u@ p
skeef	s k i@ f
skeen	s k i@ n
skeepvaart	s k i@ p f A: r t
skeer	s k i@ r
skeiding	s k @i d @ N
skeidingspakket	s k @i d @ N s p a k E t
skeidslyn	s k @i t s l @i n
skeidsregter	s k @i t s r { x t @ r
skeidsregters	s k @i t s r { x t @ r s
skeie	s k @i @
skeikunde	s k @i k 9 n d @
skei	s k @i
skelet	s k @ l E t
skeletspiere	s k @ l E t s p i r @
skeletspier	s k @ l E t s p i r
skelm	s k { l @ m
skelms	s k { l @ m s
skel	s k { l
skema	s k i@ m a
skemas	s k i@ m a s
skemeraand	s k i@ m @ r A: n t
skemer	s k i@ m @ r
skending	s k E n d @ N
skend	s k E n t
skenker	s k E N k @ r
skenkers	s k E N k @ r s
skenking	s k E N k @ N
skenkings	s k E N k @ N s
skenk	s k E N k
skepdoele	s k E p d u l @
skepdoel	s k E p d u l
skepe	s k i@ p @
skeppende	s k E p @ n d @
skepper	s k E p @ r
skeppers	s k E p @ r s
skepping	s k E p @ N
skeppingsopenbaring	s k E p @ N s u@ p @ n b A: r @ N
skeppings	s k E p @ N s
skepsel	s k E p s @ l
skepsels	s k E p s @ l s
skep	s k E p
skepskoppe	s k E p s k O p @
skepskop	s k E p s k O p
skeptici	s k E p t i s i
skeptiese	s k E p t i s @
skepties	s k E p t i s
skeptisisme	s k E p t i s @ s m @
skerm	s k { r @ m
skerms	s k { r m s
skermutselings	s k { r m 9 t s @ l @ N s
skerper	s k { r p @ r
skerpioene	s k { r p i u n @
skerpioen	s k { r p i u n
skerp	s k { r p
skerpskutters	s k { r p s k 9 t @ r s
skerpste	s k { r p s t @
skertsend	s k { r t s @ n t
skerts	s k { r t s
skerwe	s k { r v @
sketse	s k E t s @
sketsplan	s k E t s p l a n
skets	s k E t s
skeuring	s k 2: r @ N
skeur	s k 2: r
skewe	s k i@ v @
skielike	s k i l @ k @
skielik	s k i l @ k
skiereiland	s k i r @i l a n t
skietbaan	s k i t b A: n
skietery	s k i t @ r @i
skietgeveg	s k i t x @ f { x
skietgoed	s k i t x u t
skietongeluk	s k i t O n x @ l 9 k
skiet	s k i t
skietstaking	s k i t s t A: k @ N
skietstilstand	s k i t s t @ l s t a n t
skietvoorvalle	s k i t f u@ r f a l @
skietvoorval	s k i t f u@ r f a l
skietwonde	s k i t v O n d @
skietwond	s k i t v O n t
skikking	s k @ k @ N
skikkingsooreenkoms	s k @ k @ N s u@ r i@ n k O m s
skik	s k @ k
skilderagtige	s k @ l d @ r a x t @ x @
skilderkuns	s k @ l d @ r k 9 n s
skilder	s k @ l d @ r
skilders	s k @ l d @ r s
skilderye	s k @ l d @ r @i @
skildery	s k @ l d @ r @i
skilde	s k @ l d @
skild	s k @ l t
skilpaaie	s k @ l p A: i @
skilpad	s k @ l p a t
skil	s k @ l
skimmel	s k @ m @ l
skinder	s k @ n d @ r
skinkbord	s k @ N k b O r t
skink	s k @ N k
skipbreuk	s k @ p b r 2: k
skipper	s k @ p @ r
skip	s k @ p
ski	s k i
skisofrenie	s k i s u f r @ n i
skitterende	s k @ t @ r @ n d @
skitterend	s k @ t @ r @ n t
skitter	s k @ t @ r
sklerose	s k l i@ r u@ s @
skoeisel	s k u i s @ l
skoene	s k u n @
skoenlapper	s k u n l a p @ r
skoenlappers	s k u n l a p @ r s
skoen	s k u n
skoffel	s k O f @ l
skof	s k O f
skofte	s k O f t @
skokbrekers	s k O k b r i@ k @ r s
skokgolwe	s k O k x O l v @
skokkende	s k O k @ n d @
skokkend	s k O k @ n t
skokke	s k O k @
skok	s k O k
skolastiese	s k u@ l a s t i s @
skolerugby	s k u@ l @ r a g b i
skole	s k u@ l @
skolespan	s k u@ l @ s p a n
skolewet	s k u@ l @ v E t
skoliere	s k u l i r @
skolier	s k u l i r
skommelinge	s k O m @ l @ N @
skommeling	s k O m @ l @ N
skommelings	s k O m @ l @ N s
skoner	s k u@ n @ r
skone	s k u@ n @
skoolbanke	s k u@ l b a N k @
skoolboeke	s k u@ l b u k @
skoolbus	s k u@ l b 9 s
skooldag	s k u@ l d a x
skooleffektiwiteit	s k u@ l E f E k t i v i t @i t
skoolgaan	s k u@ l x A: n
skoolgeboue	s k u@ l x @ b @u @
skoolgebou	s k u@ l x @ b @u
skoolgehou	s k u@ l x @ h\ @u
skoolgeld	s k u@ l x { l t
skoolhandboeke	s k u@ l h\ a n t b u k @
skoolhoofde	s k u@ l h\ u@ f d @
skoolhoof	s k u@ l h\ u@ f
skoolhou	s k u@ l h\ @u
skooljaar	s k u@ l j A: r
skooljare	s k u@ l j A: r @
skoolkinders	s k u@ l k @ n d @ r s
skoolkind	s k u@ l k @ n t
skoolkoerant	s k u@ l k u r a n t
skoolkurrikulum	s k u@ l k 9 r i k y l 9 m
skoolloopbaan	s k u@ l u@ p b A: n
skoolmaats	s k u@ l m A: t s
skoolmeisie	s k u@ l m @i s i
skoolmeisies	s k u@ l m @i s i s
skoolopleiding	s k u@ l O p l @i d @ N
skoolreëls	s k u@ l r i@ l s
skoolseun	s k u@ l s 2: n
skoolseuns	s k u@ l s 2: n s
skool	s k u@ l
skoolstelsel	s k u@ l s t { l s @ l
skoolterrein	s k u@ l t @ r @i n
skooltjie	s k u@ l k i
skoolvakansie	s k u@ l f a k a n s i
skoolvakansies	s k u@ l f a k a n s i s
skoolvakke	s k u@ l f a k @
skoolvak	s k u@ l f a k
skoolvlak	s k u@ l f l a k
skoolvoorligtingonderwyser	s k u@ l f u@ r l @ x t @ N O n d @ r v @i s @ r
skoolvoorligting	s k u@ l f u@ r l @ x t @ N
skoolwerk	s k u@ l v { r k
skoolwiskunde	s k u@ l v @ s k 9 n d @
skoondogter	s k u@ n d O x t @ r
skoongemaak	s k u@ n x @ m A: k
skoonheidskoningin	s k u@ n h\ @i t s k u@ n @ N @ n
skoonheid	s k u@ n h\ @i t
skoonheidsmiddels	s k u@ n h\ @i t s m @ d @ l s
skoonheidsprodukte	s k u@ n h\ @i t s p r u d 9 k t @
skoonheidswedstryd	s k u@ n h\ @i t s v E t s t r @i t
skoonmaakmiddels	s k u@ n m A: k m @ d @ l s
skoonmaak	s k u@ n m A: k
skoonmaker	s k u@ n m A: k @ r
skoonma	s k u@ n m A:
skoonmoeder	s k u@ n m u d @ r
skoonouers	s k u@ n @u @ r s
skoonpa	s k u@ n p A:
skoonseun	s k u@ n s 2: n
skoonskip	s k u@ n s k @ p
skoon	s k u@ n
skoonste	s k u@ n s t @
skoonsuster	s k u@ n s 9 s t @ r
skoonveld	s k u@ n f { l t
skoor	s k u@ r
skoorsteen	s k u@ r s t i@ n
skootrekenaar	s k u@ t r i@ k @ n A: r
skoot	s k u@ t
skopper	s k O p @ r
skoppers	s k O p @ r s
skoppe	s k O p @
skopskoen	s k O p s k u n
skop	s k O p
skopvoet	s k O p f u t
skopwerk	s k O p v { r k
skorsing	s k O r s @ N
skor	s k O r
skors	s k O r s
skort	s k O r t
skote	s k u@ t @
skot	s k O t
skottelgoed	s k O t @ l x u t
skottel	s k O t @ l
skotte	s k O t @
skotvry	s k O t f r @i
skouburg	s k @u b 9 r x
skouer	s k @u @ r
skouers	s k @u @ r s
skoue	s k @u @
skou	s k @u
skouspelagtige	s k @u s p { l a x t @ x @
skouspel	s k @u s p { l
skraal	s k r A: l
skraap	s k r A: p
skraler	s k r A: l @ r
skrale	s k r A: l @
skram	s k r a m
skrander	s k r a n d @ r
skrapnel	s k r a p n { l
skrapping	s k r a p @ N
skrap	s k r a p
skree	s k r i@
skreeuende	s k r i u @ n d @
skreeu	s k r i u
skreeusnaakse	s k r i u s n A: k s @
skreeusnaaks	s k r i u s n A: k s
skrefies	s k r i@ f i s
skreiende	s k r @i @ n d @
skrifbeskouing	s k r @ f b @ s k @u @ N
skrifdeel	s k r @ f d i@ l
skrifdele	s k r @ f d i@ l @
skrifgedeelte	s k r @ f x @ d i@ l t @
skrifgeleerdes	s k r @ f x @ l i@ r d @ s
skrif	s k r @ f
skriftelike	s k r @ f t @ l @ k @
skriftelik	s k r @ f t @ l @ k
skrifte	s k r @ f t @
skriftuurlike	s k r @ f t y r l @ k @
skrifverklaring	s k r @ f @ r k l A: r @ N
skrifverwysings	s k r @ f @ r v @i s @ N s
skrikbewind	s k r @ k b @ v @ n t
skrikkerig	s k r @ k @ r @ x
skrik	s k r @ k
skrikwekkende	s k r @ k v E k @ n d @
skrikwekkend	s k r @ k v E k @ n t
skrille	s k r @ l @
skril	s k r @ l
skroef	s k r u f
skroei	s k r u i
skroewedraaier	s k r u v @ d r A: i @ r
skroom	s k r u@ m
skrootwerf	s k r u@ t v { r f
skrumskakel	s k r a m s k A: k @ l
skrumskakels	s k r a m s k A: k @ l s
skrum	s k r a m
skrums	s k r a m s
skrumwerk	s k r a m v { r k
skryfbehoeftes	s k r @i f b @ h\ u f t @ s
skryfkuns	s k r @i f k 9 n s
skryfode	s k r @i f u@ d @
skryf	s k r @i f
skryfster	s k r @i f s t @ r
skryfstrategieë	s k r @i f s t r a t @ x i @
skryfstukke	s k r @i f s t 9 k @
skryfstyl	s k r @i f s t @i l
skryfvermoë	s k r @i f f @ r m u@ @
skryfwenke	s k r @i v E N k @
skryfwerk	s k r @i f v { r k
skryfwyse	s k r @i v @i s @
skrywersgilde	s k r @i v @ r s x @ l d @
skrywer	s k r @i v @ r
skrywers	s k r @i v @ r s
skrywe	s k r @i v @
skud	s k 9 t
skuifdeure	s k 9y f d 2: r @
skuifel	s k 9y f @ l
skuif	s k 9y f
skuiling	s k 9y l @ N
skuilnaam	s k 9y l n A: m
skuilname	s k 9y l n A: m @
skuilplek	s k 9y l p l { k
skuil	s k 9y l
skuimkop	s k 9y m k O p
skuins	s k 9y n s
skuinste	s k 9y n s t @
skuiwergat	s k 9y v @ r x a t
skuiwe	s k 9y v @
skuldbelydenis	s k 9 l t b @ l @i d @ n @ s
skuldbriefhouers	s k 9 l t b r i f h\ @u @ r s
skuldbrief	s k 9 l t b r i f
skuldbriewe	s k 9 l t b r i v @
skuldeiser	s k 9 l t @i s @ r
skuldeisers	s k 9 l t @i s @ r s
skuldelas	s k 9 l d @ l a s
skuldenaar	s k 9 l d @ n A: r
skuldenaars	s k 9 l d @ n A: r s
skulderkenning	s k 9 l t { r k E n @ N
skuldgevoelens	s k 9 l t x @ f u l @ n s
skuldgevoel	s k 9 l t x @ f u l
skuldigbevinding	s k 9 l d @ x b @ f @ n d @ N
skuldigbevindings	s k 9 l d @ x b @ f @ n d @ N s
skuldige	s k 9 l d @ x @
skuldiges	s k 9 l d @ x @ s
skuldig	s k 9 l d @ x
skuldinvorderaars	s k 9 l t @ n f O r d @ r A: r s
skuld	s k 9 l t
skuldverhouding	s k 9 l t f @ r h\ @u d @ N
skulpe	s k 9 l p @
skulp	s k 9 l p
skurke	s k 9 r k @
skurk	s k 9 r k
skut	s k 9 t
skuur	s k y r
skyfie	s k @i f i
skyfies	s k @i f i s
skyfremme	s k @i f r E m @
skyf	s k @i f
skynbaar	s k @i n b A: r
skynbare	s k @i n b A: r @
skynheiligheid	s k @i n h\ @i l @ x h\ @i t
skynheilig	s k @i n h\ @i l @ x
skynsel	s k @i n s @ l
skyn	s k @i n
skywe	s k @i v @
slaaf	s l A: f
slaafs	s l A: f s
slaagpunt	s l A: x p 9 n t
slaag	s l A: x
slaags	s l A: x s
slaagsyfer	s l A: x s @i f @ r
slaagvereistes	s l A: x f @ r @i s t @ s
slaaie	s l A: i @
slaai	s l A: i
slaankrag	s l A: n k r a x
slaan	s l A: n
slaapkamer	s l A: p k A: m @ r
slaapkamers	s l A: p k A: m @ r s
slaaploosheid	s l A: p l u@ s h\ @i t
slaappille	s l A: p @ l @
slaapplek	s l A: p l { k
slaapsakke	s l A: p s a k @
slaapsak	s l A: p s a k
slaap	s l A: p
slaaptyd	s l A: p t @i t
slaat	s l A: t
slae	s l A: @
slagaar	s l a x A: r
slaggate	s l a x A: t @
slaggereed	s l a x @ r i@ t
slaghuis	s l a x h\ 9y s
slagoffer	s l a x O f @ r
slagoffers	s l a x O f @ r s
slag	s l a x
slagspreuke	s l a x s p r 2: k @
slagspreuk	s l a x s p r 2: k
slagtande	s l a x t a n d @
slagters	s l a x t @ r s
slagting	s l a x t @ N
slagtings	s l a x t @ N s
slagvelde	s l a x f { l d @
slagveld	s l a x f { l t
slagyster	s l a x @i s t @ r
slakkepas	s l a k @ p a s
slak	s l a k
slaner	s l A: n @ r
slaners	s l A: n @ r s
slange	s l a N @
slang	s l a N
slanke	s l a N k @
slapeloosheid	s l A: p @ l u@ s h\ @i t
slapende	s l A: p @ n d @
slap	s l a p
slater	s l A: t @ r
slavin	s l a f @ n
slawerny	s l A: v @ r n @i
slawe	s l A: v @
slawiese	s l A: v i s @
sleep	s l i@ p
sleeptou	s l i@ p t @u
sleepwa	s l i@ p v A:
slee	s l i@
sleg	s l { x
slegs	s l { x s
slegste	s l { x s t @
slegter	s l { x t @ r
slegte	s l { x t @
slenter	s l E n t @ r
sleutelaspekte	s l 2: t @ l a s p E k t @
sleutelbeen	s l 2: t @ l b i@ n
sleutelbegrippe	s l 2: t @ l b @ x r @ p @
sleutelbord	s l 2: t @ l b O r t
sleutelelemente	s l 2: t @ l E l @ m E n t @
sleutelkonsepte	s l 2: t @ l k O n s E p t @
sleutelrol	s l 2: t @ l r O l
sleutel	s l 2: t @ l
sleutelspelers	s l 2: t @ l s p i@ l @ r s
sleutels	s l 2: t @ l s
slimmer	s l @ m @ r
slim	s l @ m
slimste	s l @ m s t @
sloer	s l u r
sloop	s l u@ p
sloot	s l u@ t
sloping	s l u@ p @ N
slordig	s l O r d @ x
slotdividend	s l O t d @ v i d E n t
slote	s l u@ t @
slothoofstuk	s l O t h\ u@ f s t 9 k
slotmaat	s l O t m A: t
slotopmerking	s l O t O p m { r k @ N
slotparagraaf	s l O t p a r a x r A: f
slot	s l O t
slotsom	s l O t s O m
slotte	s l O t @
slotwoord	s l O t v u@ r t
sluier	s l 9y @ r
sluimerende	s l 9y m @ r @ n d @
sluimer	s l 9y m @ r
sluipmoordaanval	s l 9y p m u@ r t A: n f a l
sluipmoordenaar	s l 9y p m u@ r d @ n A: r
sluipmoorde	s l 9y p m u@ r d @
sluipmoord	s l 9y p m u@ r t
sluip	s l 9y p
sluitingsdatum	s l 9y t @ N s d A: t 9 m
sluitingskoers	s l 9y t @ N s k u r s
sluiting	s l 9y t @ N
sluitingsprys	s l 9y t @ N s p r @i s
sluitingstyd	s l 9y t @ N s t @i t
sluit	s l 9y t
sluitweerremme	s l 9y t v i@ r E m @
slukderm	s l 9 k d { r m
slukke	s l 9 k @
slukkie	s l 9 k i
sluk	s l 9 k
slurp	s l 9 r p
sluwe	s l y v @
slym	s l @i m
slypskole	s l @i p s k u@ l @
slypskool	s l @i p s k u@ l
slyp	s l @i p
smaaklik	s m A: k l @ k
smaak	s m A: k
smaakvol	s m A: k f O l
smag	s m a x
smalend	s m A: l @ n t
smaller	s m a l @ r
smal	s m a l
smarte	s m a r t @
smart	s m a r t
smeek	s m i@ k
smeermiddels	s m i@ r m @ d @ l s
smeer	s m i@ r
smee	s m i@
smekend	s m i@ k @ n t
smeking	s m i@ k @ N
smelt	s m { l t
smerige	s m i@ r @ x @
smiddae	s m @ d A: @
smid	s m @ t
smit	s m @ t
smokkelary	s m O k @ l a r @i
smokkelhuis	s m O k @ l h\ 9y s
smokkel	s m O k @ l
smoor	s m u@ r
smouse	s m @u s @
smullekker	s m 9 l { k @ r
smul	s m 9 l
smyt	s m @i t
snaakse	s n A: k s @
snaaks	s n A: k s
snaaksste	s n A: k s t @
snaar	s n A: r
snags	s n a x s
snap	s n a p
snare	s n A: r @
snawel	s n A: v @ l
sneeubedekte	s n i u b @ d { k t @
sneeu	s n i u
sneeuwitjie	s n i u v @ i k i
snelbouler	s n { l b @u l @ r
snelboulers	s n { l b @u l @ r s
sneldeel	s n { l d i@ l
snelgroeiende	s n { l x r u i @ n d @
snelhede	s n { l h\ i@ d @
snelheid	s n { l h\ @i t
snelheidsperk	s n { l h\ @i t s p { r k
sneller	s n { l @ r
snellers	s n { l @ r s
snelle	s n { l @
snel	s n { l
sneltrajek	s n { l t r a j E k
sneltrein	s n { l t r @i n
snelweg	s n { l v { x
snert	s n { r t
snikhete	s n @ k h\ i@ t @
snit	s n @ t
snitte	s n @ t @
snoeker	s n u k @ r
snoer	s n u r
snork	s n O r k
snor	s n O r
snuffel	s n 9 f @ l
snuif	s n 9y f
snuisterye	s n 9y s t @ r @i @
snye	s n @i @
snyman	s n @i m a n
sny	s n @i
snywond	s n @i v O n t
sodanige	s u@ d A: n @ x @
sodanig	s u@ d A: n @ x
soda	s u@ d a
sodat	s u@ d a t
sodoende	s u@ d u n d @
sodomie	s u@ d u m i
sodra	s u@ d r A:
soedannese	s u d a n i@ s @
soekend	s u k @ n t
soekenjins	s u k E n j @ n s
soeker	s u k @ r
soeke	s u k @
soeklig	s u k l @ x
soek	s u k
soektog	s u k t O x
soen	s u n
soepelheid	s u p @ l h\ @i t
soepel	s u p @ l
sôe	s O @
soeter	s u t @ r
soetkoek	s u t k u k
soet	s u t
soewereine	s u v @ r @i n @
soewereiniteit	s u v @ r @i n i t @i t
sofa	s u@ f a
sogenaamde	s u@ x @ n A: m d @
sogenaamd	s u@ x @ n A: m t
sogenoemde	s u@ x @ n u m d @
soggens	s O x @ n s
sojabone	s u@ j a b u@ n @
sokkerklub	s O k @ r k l 9 b
sokker	s O k @ r
sokkerspan	s O k @ r s p a n
sokkertoernooi	s O k @ r t u r n u@ i
sokkervereniging	s O k @ r f @ r i@ n @ x @ N
sokkerwedstryd	s O k @ r v E t s t r @i t
sokkie	s O k i
sokkies	s O k i s
sok	s O k
solank	s u@ l a N k
soldaat	s O l d A: t
soldate	s O l d A: t @
solder	s O l d @ r
soldier	s O l d i r
soleer	s u l i@ r
solidariteit	s O l i d a r i t @i t
soliede	s u l i d @
solied	s u l i t
solis	s u@ l @ s
soliste	s u l @ s t @
solostuk	s u@ l u s t 9 k
solo	s u@ l u
solvente	s O l f E n t @
soma	s u@ m a
somber	s O m b @ r
somer	s u@ m @ r
somervakansie	s u@ m @ r f a k a n s i
some	s u@ m @
sommer	s O m @ r
sommerso	s O m @ r s u@
sommige	s O m @ x @
sommiges	s O m @ x @ s
som	s O m
soms	s O m s
somtyds	s O m t @i t s
sonar	s u@ n a r
sonates	s u n A: t @ s
sonate	s u n A: t @
sonbesies	s O n b i@ s i s
sonbrand	s O n b r a n t
sonbrille	s O n b r @ l @
sondaar	s O n d A: r
sondaars	s O n d A: r s
sondae	s O n d A: @
sondak	s O n d a k
sonder	s O n d @ r
sonde	s O n d @
sondes	s O n d @ s
sondeval	s O n d @ f a l
sondige	s O n d @ x @
sondig	s O n d @ x
sonenergie	s O n E n @ r x i
sone	s u@ n @
sones	z u@ n @ s
sonkrag	s O n k r a x
sonkring	s O n k r @ N
sonlig	s O n l @ x
sonneblomme	s O n @ b l O m @
sonneblomolie	s O n @ b l O m u@ l i
sonneblomsaad	s O n @ b l O m s A: t
sonneblom	s O n @ b l O m
sonnestelsel	s O n @ s t { l s @ l
sonnette	s u n E t @
sonnige	s O n @ x @
sonnig	s O n @ x
sononder	s O n O n d @ r
sonop	s O n O p
sonskyn	s O n s k @i n
son	s O n
sonsopkoms	s O n s O p k O m s
sonsverduistering	s O n s f @ r d 9y s t @ r @ N
soogdiere	s u@ x d i r @
sooibrand	s u@ i b r a n t
soom	s u@ m
soontoe	s u@ n t u
soorte	s u@ r t @
soortgelyke	s u@ r t x @ l @i k @
soortgelyk	s u@ r t x @ l @i k
soort	s u@ r t
soos	s u@ s
sopas	s u@ p a s
sopnat	s O p n a t
sopraan	s u p r A: n
soprane	s u p r A: n @
sop	s O p
sorge	s O r g @
sorghum	s O r x 9 m
sorgsame	s O r x s A: m @
sorg	s O r x
sorgvuldig	s O r x f 9 l d @ x
sorteer	s O r t i@ r
sortering	s O r t i@ r @ N
soseer	s u@ s i@ r
sosiaal	s u@ S i A: l
sosiale	s u@ S i A: l @
sosialisering	s u@ S i a l i s i@ r @ N
sosialisme	s u@ S i a l @ s m @
sosialiste	s u@ S i a l @ s t @
sosialistiese	s u@ S i a l @ s t i s @
sosiohistoriese	s u@ S i u h\ i s t u@ r i s @
sosiolinguistiese	s u@ S i u l @ N g u @ s t i s @
sosiologiese	s u@ S i u l u@ x i s @
sosiologie	s u@ S i u l u x i
sosioloog	s u@ S i u l u@ x
sosiopolitieke	s u@ S i u p O l @ t i k @
sosio	s u@ S i u
so	s u@
só	s u@
sot	s O t
soul	s @u l
souse	s @u s @
sous	s @u s
sou	s @u
soute	s @u t @
soutgehalte	s @u t x @ h\ a l t @
souties	s @u t i s
soutoplossing	s @u t O p l O s @ N
sout	s @u t
soutwater	s @u t v A: t @ r
soveelste	s u@ f i@ l s t @
soveel	s u@ f i@ l
soverre	s u@ f { r @
sover	s u@ f { r
sowaar	s u@ v A: r
sowat	s u@ v a t
sowel	s u@ v { l
spaander	s p A: n d @ r
spaanse	s p A: n s @
spaargeld	s p A: r x { l t
spaar	s p A: r
spaghetti	s p a g E t i
spanbestuurder	s p a n b @ s t y r d @ r
spanbestuur	s p a n b @ s t y r
spanbou	s p a n b @u
spandeer	s p a n d i@ r
spangees	s p a n x i@ s
spanje	s p a n j @
spankeuses	s p a n k 2: s @ s
spankompetisie	s p a n k O m p @ t i s i
spanlede	s p a n l i@ d @
spanlid	s p a n l @ t
spanmaat	s p a n m A: t
spanmaats	s p a n m A: t s
spannende	s p a n @ n d @
spannend	s p a n @ n t
spanne	s p a n @
spanninge	s p a n @ N @
spanningslyn	s p a n @ N s l @i n
spanning	s p a n @ N
spanningsvolle	s p a n @ N s f O l @
spanpoging	s p a n p u@ x @ N
span	s p a n
spantoernooi	s p a n t u r n u@ i
spanverband	s p a n f @ r b a n t
spanwerk	s p a n v { r k
spartaanse	s p a r t A: n s @
spartel	s p a r t @ l
spasiëring	s p a s i i@ r @ N
spasie	s p A: s i
spasies	s p A: s i s
spa	s p A:
spatare	s p a t A: r @
spat	s p a t
speaker	s p i k @ r
speelbal	s p i@ l b a l
speeldae	s p i@ l d A: @
speelgoed	s p i@ l x u t
speelplek	s p i@ l p l { k
speel	s p i@ l
speeltyd	s p i@ l t @i t
speelvak	s p i@ l f a k
speelveld	s p i@ l f { l t
speen	s p i@ n
speke	s p i@ k @
spek	s p E k
spektakel	s p E k t A: k @ l
spektrum	s p E k t r 9 m
spekulante	s p E k y l a n t @
spekulasie	s p E k y l A: s i
spekulatiewe	s p E k y l a t i v @
spekvleis	s p E k f l @i s
speld	s p { l t
spelende	s p i@ l @ n d @
speler	s p i@ l @ r
spelers	s p i@ l @ r s
spele	s p i@ l @
speletjie	s p i@ l i k i
speletjies	s p i@ l i k i s
spelle	s p { l @
spelpatroon	s p { l p a t r u@ n
spelpeil	s p { l p @i l
spelreëls	s p { l r i@ l s
spel	s p { l
spelstrategieë	s p { l s t r a t @ x i @
